make,model,year,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,Nm/kgm,rpm,seats,country
Hyundai,i20,2012,500000,53000,Diesel,Individual,Manual,Second Owner,23,1396,90,22,2250,5,South Korea
Maruti,Alto,2002,150000,80000,Petrol,Individual,Manual,Second Owner,20,796,46,62,3000,5,India
Hyundai,i20,2016,680000,100000,Diesel,Individual,Manual,First Owner,23,1396,89,220,2125,5,South Korea
Mahindra,Verito,2011,174000,100000,Diesel,Individual,Manual,Second Owner,21,1461,64,160,2000,5,India
Honda,WR-V,2017,950000,50000,Diesel,Individual,Manual,First Owner,26,1498,99,200,1750,5,Japan
Maruti,Swift,2015,525000,40000,Diesel,Individual,Manual,First Owner,27,1248,74,190,2000,5,India
Maruti,SX4,2012,600000,72000,Diesel,Individual,Manual,First Owner,22,1248,89,200,1750,5,India
Tata,Tigor,2018,500000,35000,Petrol,Individual,Manual,First Owner,20,1199,84,114,3500,5,India
Maruti,Baleno,2016,575000,45000,Petrol,Individual,Manual,First Owner,21,1197,83,115,4000,5,India
Maruti,Alto,2017,275000,28000,Petrol,Individual,Manual,First Owner,25,796,47,69,3500,5,India
Chevrolet,Enjoy,2013,300000,70000,Diesel,Individual,Manual,First Owner,18,1248,74,172,1750,7,United States
Maruti,Wagon,2009,220000,120000,Petrol,Individual,Manual,First Owner,19,1061,67,84,3500,5,India
Maruti,Omni,2018,254999,25000,Petrol,Individual,Manual,First Owner,17,796,34,59,2500,8,India
Maruti,Vitara,2017,670000,70000,Diesel,Individual,Manual,First Owner,24,1248,88,200,1750,5,India
Maruti,Omni,2012,150000,35000,Petrol,Individual,Manual,Second Owner,14,796,35,6,3000,5,India
Hyundai,i20,2018,730000,2388,Petrol,Individual,Manual,First Owner,19,1197,82,115,4000,5,South Korea
Maruti,Vitara,2017,650000,16200,Diesel,Individual,Manual,First Owner,24,1248,88,200,1750,5,India
Maruti,Alto,2019,330000,10000,CNG,Individual,Manual,Second Owner,33,796,40,60,3500,4,India
Maruti,Alto,2019,366000,15000,Petrol,Individual,Manual,First Owner,24,998,67,90,3500,5,India
Hyundai,Verna,2019,1149000,5000,Petrol,Individual,Manual,First Owner,17,1591,121,151,4850,5,South Korea
Datsun,GO,2016,150000,42000,Petrol,Individual,Manual,First Owner,21,1198,67,104,4000,5,Japan
Tata,Safari,2011,425000,60000,Diesel,Individual,Manual,Second Owner,14,2179,138,320,2700,7,India
Maruti,800,2012,150000,76000,Petrol,Individual,Manual,First Owner,16,796,37,59,2500,4,India
Honda,City,2018,925000,28900,Petrol,Dealer,Manual,First Owner,18,1497,117,145,4600,5,Japan
Honda,City,2013,425000,86300,Petrol,Dealer,Manual,First Owner,17,1497,116,146,4800,5,Japan
Maruti,Swift,2018,675000,23300,Petrol,Dealer,Automatic,First Owner,18,1197,83,115,4000,5,India
Maruti,Vitara,2018,819999,32600,Diesel,Dealer,Manual,First Owner,24,1248,88,200,1750,5,India
Maruti,Alto,2018,390000,10300,Petrol,Dealer,Manual,First Owner,24,998,67,90,3500,5,India
Toyota,Innova,2013,700000,99000,Diesel,Dealer,Manual,First Owner,13,2494,100,200,3400,7,Japan
Honda,Amaze,2015,425000,49800,Diesel,Dealer,Manual,First Owner,25,1498,99,200,1750,5,Japan
Honda,City,2015,600000,54700,Diesel,Dealer,Manual,First Owner,26,1498,99,200,1750,5,Japan
Maruti,Ciaz,2018,850000,64000,Petrol,Dealer,Manual,First Owner,21,1462,103,138,4400,5,India
Honda,Jazz,2015,525000,63000,Diesel,Dealer,Manual,First Owner,27,1498,99,200,1750,5,Japan
Toyota,Innova,2016,950000,99000,Diesel,Dealer,Manual,First Owner,13,2494,101,200,3600,7,Japan
Tata,Manza,2011,265000,120000,Diesel,Individual,Manual,First Owner,21,1248,89,200,3000,5,India
Hyundai,i10,2011,190000,110000,Petrol,Individual,Manual,Third Owner,20,1197,79,112,4000,5,South Korea
Hyundai,i20,2013,425000,60000,Diesel,Individual,Manual,First Owner,21,1396,89,220,2125,5,South Korea
Maruti,Swift,2015,630000,147000,Diesel,Individual,Manual,Second Owner,27,1248,74,190,2000,5,India
Ford,Figo,2017,600000,25000,Petrol,Individual,Manual,Third Owner,18,1196,87,112,4000,5,United States
Maruti,Baleno,2019,650000,30000,Petrol,Individual,Manual,First Owner,21,1197,83,115,4000,5,India
Volkswagen,Ameo,2016,540000,40000,Diesel,Individual,Manual,First Owner,22,1498,108,250,3000,5,Germany
Honda,City,2015,630000,135000,Diesel,Individual,Manual,First Owner,25,1498,99,200,1750,5,Japan
Maruti,Wagon,2018,448000,30000,Petrol,Individual,Automatic,First Owner,21,998,67,90,3500,5,India
Volkswagen,Ameo,2017,500000,80000,Diesel,Individual,Manual,First Owner,22,1498,109,250,3000,5,Germany
Maruti,Vitara,2016,745000,70000,Diesel,Individual,Manual,First Owner,24,1248,88,200,1750,5,India
Maruti,Vitara,2019,1025000,9850,Diesel,Individual,Automatic,First Owner,24,1248,88,200,1750,5,India
Hyundai,i10,2011,235000,60000,Petrol,Individual,Manual,Second Owner,20,1197,79,112,4000,5,South Korea
Maruti,Swift,2016,630000,70000,Diesel,Individual,Manual,First Owner,25,1248,74,190,2000,5,India
Maruti,Swift,2013,450000,120000,Diesel,Individual,Manual,Second Owner,23,1248,74,190,2000,5,India
Maruti,Ertiga,2012,450000,120000,Petrol,Individual,Manual,Second Owner,16,1373,94,130,4000,7,India
Tata,Indica,2003,50000,70000,Diesel,Individual,Manual,First Owner,19,1459,92,0,3011,5,India
Volkswagen,Vento,2013,450000,170000,Diesel,Individual,Manual,First Owner,21,1598,104,250,2500,5,Germany
Toyota,Innova,2016,1200000,140000,Diesel,Individual,Manual,First Owner,13,2494,101,200,3600,8,Japan
Ford,EcoSport,2015,610000,90000,Diesel,Individual,Manual,First Owner,23,1498,99,205,3250,5,United States
Maruti,Celerio,2017,484999,10000,Petrol,Dealer,Manual,First Owner,23,998,67,90,3500,5,India
Datsun,GO,2016,275000,49000,Petrol,Dealer,Manual,First Owner,19,1198,67,104,4000,5,Japan
Maruti,Alto,2016,315000,32000,Petrol,Dealer,Manual,First Owner,25,796,47,69,3500,5,India
Maruti,Alto,2016,275000,38000,Petrol,Dealer,Manual,First Owner,25,796,47,69,3500,5,India
Maruti,Swift,2015,475000,78000,Diesel,Dealer,Manual,First Owner,19,1459,92,0,3011,5,India
Hyundai,i10,2012,290000,28000,Petrol,Dealer,Manual,First Owner,20,1086,68,99,4500,5,South Korea
Maruti,Omni,2017,280000,32000,Petrol,Dealer,Manual,First Owner,14,796,35,6,3000,5,India
Maruti,Wagon,2010,225000,44000,LPG,Dealer,Manual,First Owner,26,998,58,77,3500,5,India
Volkswagen,Polo,2015,455000,42000,Petrol,Dealer,Manual,First Owner,16,1198,74,110,3750,5,Germany
Hyundai,i10,2015,351000,45000,Petrol,Dealer,Manual,Second Owner,20,1086,68,99,4500,5,South Korea
Volkswagen,Vento,2012,535000,12000,Petrol,Dealer,Manual,Second Owner,15,1598,104,153,3800,5,Germany
Maruti,Zen,2009,175000,55500,Petrol,Dealer,Manual,First Owner,18,998,67,90,3500,5,India
Hyundai,i20,2013,525000,61500,Petrol,Dealer,Manual,First Owner,18,1197,83,114,4000,5,South Korea
Maruti,Swift,2016,600000,150000,Diesel,Individual,Manual,First Owner,27,1248,74,190,2000,5,India
Hyundai,Xcent,2016,565000,72000,Petrol,Dealer,Automatic,First Owner,19,1197,82,114,4000,5,South Korea
Maruti,Alto,2008,120000,68000,Petrol,Dealer,Manual,Third Owner,20,796,46,62,3000,5,India
Hyundai,i20,2017,725000,110000,Diesel,Individual,Manual,First Owner,23,1396,89,220,2125,5,South Korea
Maruti,Wagon,2009,185000,77000,Petrol,Dealer,Manual,Second Owner,22,998,67,90,3500,5,India
Tata,Manza,2010,200000,100000,Diesel,Individual,Manual,Second Owner,19,1248,90,200,3000,5,India
Maruti,Swift,2019,615000,10000,Petrol,Individual,Manual,First Owner,21,1197,82,113,4200,5,India
Maruti,Eeco,2016,270000,100000,Petrol,Individual,Manual,Third Owner,15,1196,73,101,3000,7,India
Maruti,Baleno,2018,610000,35000,Petrol,Individual,Manual,First Owner,21,1197,83,115,4000,5,India
Mahindra,Scorpio,2014,625000,70000,Diesel,Individual,Automatic,Second Owner,12,2179,120,290,2800,8,India
Ford,Freestyle,2020,400000,5000,Petrol,Individual,Manual,Second Owner,19,1194,95,120,4250,5,United States
Hyundai,Verna,2017,866000,37800,Petrol,Individual,Manual,First Owner,17,1591,121,151,4850,5,South Korea
Tata,Indica,2010,300000,48000,Petrol,Individual,Manual,First Owner,16,1172,65,96,3000,5,India
Tata,Indigo,2016,375000,100000,Diesel,Individual,Manual,First Owner,19,1405,69,135,2500,5,India
Hyundai,Verna,2013,522000,150000,Diesel,Individual,Manual,Second Owner,22,1582,126,260,2325,5,South Korea
Hyundai,i20,2013,451999,69000,Diesel,Individual,Manual,First Owner,22,1396,89,220,2125,5,South Korea
Toyota,Corolla,2009,300000,100000,Petrol,Individual,Manual,Second Owner,15,1798,138,173,4000,5,Japan
Maruti,Celerio,2020,475000,13000,Petrol,Individual,Manual,First Owner,22,998,67,90,3500,5,India
Maruti,Vitara,2016,780000,60000,Diesel,Individual,Manual,First Owner,24,1248,88,200,1750,5,India
Maruti,Swift,2017,595000,40000,Petrol,Individual,Manual,First Owner,21,1197,83,115,4000,5,India
Maruti,Wagon,2017,440000,35000,Petrol,Individual,Manual,First Owner,21,998,67,90,3500,5,India
Maruti,Swift,2010,300000,120000,Diesel,Individual,Manual,Second Owner,19,1459,92,0,3011,5,India
Nissan,Terrano,2014,400000,70000,Diesel,Individual,Manual,Third Owner,20,1461,84,200,1900,5,Japan
Hyundai,Creta,2016,1140000,50000,Diesel,Individual,Manual,First Owner,20,1582,126,260,2325,5,South Korea
Ford,EcoSport,2017,850000,76139,Diesel,Individual,Manual,First Owner,23,1498,99,205,3250,5,United States
Maruti,Swift,2012,370000,175000,Diesel,Individual,Manual,Fourth & Above Owner,19,1248,74,190,2000,5,India
Renault,KWID,2018,350000,25000,Petrol,Individual,Manual,First Owner,23,999,67,91,4250,5,France
Maruti,Celerio,2015,360000,40000,Petrol,Individual,Manual,Second Owner,23,998,67,90,3500,5,India
Maruti,Alto,2008,105000,65000,Petrol,Individual,Manual,Fourth & Above Owner,20,796,46,62,3000,5,India
Maruti,Ertiga,2013,625000,90000,Diesel,Individual,Manual,Second Owner,21,1248,89,200,1750,7,India
Hyundai,Santro,2009,135000,80000,Petrol,Individual,Manual,Second Owner,18,1086,62,96,3000,5,South Korea
Maruti,Ertiga,2015,700000,110000,Diesel,Individual,Manual,Second Owner,21,1248,89,200,1750,7,India
Honda,Amaze,2019,690000,1303,Petrol,Dealer,Manual,First Owner,18,1198,87,109,4500,5,Japan
Honda,City,2017,795000,41000,Petrol,Dealer,Automatic,First Owner,18,1497,118,145,4600,5,Japan
Toyota,Corolla,2013,625000,39000,Petrol,Dealer,Automatic,First Owner,14,1798,138,173,4000,5,Japan
Maruti,Ciaz,2015,535000,40000,Diesel,Dealer,Manual,First Owner,26,1248,88,200,1750,5,India
Hyundai,Elantra,2016,805000,49900,Petrol,Dealer,Manual,First Owner,16,1797,148,178,4700,5,South Korea
Tata,Nexon,2018,811000,11000,Petrol,Dealer,Manual,First Owner,17,1198,108,170,4000,5,India
Volkswagen,Vento,2011,375000,49000,Petrol,Individual,Manual,First Owner,15,1598,104,153,3800,5,Germany
Hyundai,Elantra,2012,550000,95000,Petrol,Individual,Manual,First Owner,16,1797,148,178,4700,5,South Korea
Skoda,Rapid,2016,645000,11000,Petrol,Dealer,Automatic,First Owner,14,1598,104,153,3800,5,Czech Republic
Maruti,Ertiga,2014,599000,46100,Petrol,Dealer,Manual,First Owner,16,1373,94,130,4000,7,India
Honda,City,2017,875000,18000,Petrol,Dealer,Automatic,First Owner,16,1497,116,146,4800,5,Japan
Maruti,Alto,2011,175000,11000,Petrol,Dealer,Manual,First Owner,24,998,67,90,3500,5,India
Maruti,Swift,2012,340000,24300,Petrol,Dealer,Manual,First Owner,21,1197,82,113,4200,5,India
Tata,Nexon,2018,1025000,8000,Diesel,Dealer,Automatic,First Owner,22,1497,108,260,2750,5,India
Maruti,Ertiga,2016,850000,20000,Petrol,Individual,Manual,First Owner,18,1373,91,130,4000,7,India
Volkswagen,Vento,2011,300000,100000,Diesel,Individual,Manual,Second Owner,21,1598,104,250,2500,5,Germany
Ford,Figo,2018,575000,9500,Petrol,Individual,Manual,First Owner,18,1196,87,112,4000,5,United States
Ford,Figo,2011,160000,120000,Diesel,Individual,Manual,First Owner,20,1399,68,160,2000,5,United States
Maruti,Swift,2015,515000,36600,Petrol,Individual,Manual,First Owner,20,1197,82,113,4200,5,India
Maruti,Wagon,2015,390000,50000,Petrol,Individual,Automatic,Second Owner,21,998,67,90,3500,5,India
Hyundai,i20,2016,550000,14000,Petrol,Individual,Manual,Second Owner,19,1197,82,115,4000,5,South Korea
Maruti,800,1999,40000,40000,Petrol,Individual,Manual,Second Owner,16,796,37,59,2500,4,India
Maruti,Ritz,2010,220000,120000,Diesel,Individual,Manual,First Owner,21,1248,74,113,4500,5,India
Hyundai,Grand,2015,425000,70000,Petrol,Individual,Manual,First Owner,19,1197,82,114,4000,5,South Korea
Volkswagen,Ameo,2019,480000,13000,Petrol,Individual,Manual,First Owner,19,999,75,95,4300,5,Germany
Hyundai,Grand,2014,400000,60000,Petrol,Individual,Manual,Second Owner,19,1197,82,114,4000,5,South Korea
Maruti,Swift,2014,487000,35000,Petrol,Individual,Manual,First Owner,19,1197,86,114,4000,5,India
Hyundai,Xcent,2016,386000,44000,Petrol,Individual,Manual,Second Owner,19,1197,82,114,4000,5,South Korea
Honda,City,2005,100000,120000,Petrol,Individual,Manual,Second Owner,13,1493,100,13,4600,5,Japan
Toyota,Corolla,2010,300000,60000,Diesel,Individual,Manual,First Owner,21,1364,87,205,2800,5,Japan
Mahindra,KUV,2016,450000,15000,Petrol,Individual,Manual,Second Owner,18,1198,82,115,3600,6,India
Tata,Zest,2017,490000,90000,Diesel,Individual,Manual,First Owner,23,1248,74,190,3000,5,India
Honda,City,2009,345000,47000,Petrol,Individual,Manual,Second Owner,17,1497,118,146,4800,5,Japan
Maruti,Zen,2005,85000,90000,Petrol,Individual,Manual,First Owner,17,993,60,78,4500,5,India
Maruti,Wagon,2010,215000,120600,Petrol,Individual,Manual,Second Owner,19,998,67,90,3500,5,India
Hyundai,Verna,2010,320000,100000,Petrol,Individual,Manual,Third Owner,16,1599,103,15,3000,5,South Korea
Maruti,Swift,2016,459999,60000,Petrol,Individual,Manual,Second Owner,21,1197,83,115,4000,5,India
Hyundai,Getz,2005,65000,86000,Petrol,Individual,Manual,First Owner,15,1341,83,115,3200,5,South Korea
Hyundai,Elite,2020,720000,5000,Petrol,Individual,Manual,First Owner,19,1197,82,117,4000,5,South Korea
Maruti,Ciaz,2017,800000,37000,Diesel,Individual,Manual,First Owner,28,1248,88,200,1750,5,India
Tata,Tigor,2019,520000,14000,Petrol,Individual,Manual,First Owner,20,1199,84,114,3500,5,India
Maruti,Ertiga,2015,580000,70000,Diesel,Individual,Manual,First Owner,21,1248,89,200,1750,7,India
Toyota,Etios,2012,235000,120000,Diesel,Individual,Manual,First Owner,19,1459,92,0,3011,5,Japan
Honda,City,2015,600000,50000,Petrol,Individual,Manual,First Owner,17,1497,117,145,4600,5,Japan
Honda,Brio,2014,290000,60000,Petrol,Individual,Manual,Second Owner,19,1198,87,109,4500,5,Japan
Maruti,Wagon,2016,360000,50000,CNG,Individual,Manual,First Owner,27,998,58,77,3500,5,India
Maruti,Swift,2017,550000,50000,Petrol,Individual,Manual,First Owner,21,1197,83,115,4000,5,India
Hyundai,i20,2013,375000,70000,Petrol,Individual,Manual,First Owner,18,1197,83,114,4000,5,South Korea
Maruti,Omni,2003,40000,90000,Petrol,Individual,Manual,Second Owner,19,1459,92,0,3011,5,India
Maruti,Wagon,2018,420000,35000,Petrol,Individual,Automatic,First Owner,21,998,67,90,3500,5,India
Maruti,Swift,2017,550000,20000,Petrol,Individual,Manual,First Owner,21,1197,82,113,4200,5,India
Maruti,Alto,2018,270000,20000,Petrol,Individual,Manual,First Owner,25,796,47,69,3500,5,India
Maruti,Swift,2018,700000,7800,Petrol,Individual,Automatic,First Owner,22,1197,82,113,4200,5,India
Maruti,Swift,2017,500000,20000,Petrol,Individual,Manual,First Owner,20,1197,82,113,4200,5,India
Hyundai,i20,2013,320000,31377,Petrol,Individual,Manual,Second Owner,18,1197,83,114,4000,5,South Korea
Maruti,Swift,2018,700000,50000,Diesel,Individual,Manual,First Owner,28,1248,74,190,2000,5,India
Maruti,Wagon,2015,290000,60000,Petrol,Individual,Manual,First Owner,21,998,67,90,3500,5,India
Toyota,Corolla,2012,550000,100000,Petrol,Individual,Automatic,First Owner,15,1794,138,173,4000,5,Japan
Honda,Brio,2012,265000,60000,Petrol,Individual,Manual,First Owner,19,1198,87,109,4500,5,Japan
Maruti,Baleno,2018,830000,5000,Petrol,Individual,Automatic,First Owner,21,1197,83,115,4000,5,India
Tata,Safari,2017,800000,60000,Diesel,Individual,Manual,First Owner,14,2179,148,320,3000,7,India
Maruti,Alto,2011,160000,25000,Petrol,Individual,Manual,Second Owner,20,796,46,62,3000,5,India
Renault,KWID,2018,335000,30000,Petrol,Individual,Manual,First Owner,25,799,53,72,4386,5,France
Datsun,GO,2017,329000,80000,Petrol,Individual,Manual,Second Owner,21,1198,67,104,4000,5,Japan
Maruti,Vitara,2017,775000,75000,Diesel,Individual,Manual,First Owner,24,1248,88,200,1750,5,India
Hyundai,Xcent,2020,524000,32000,Petrol,Individual,Manual,First Owner,20,1197,82,114,4000,5,South Korea
Maruti,Alto,2015,245000,40000,Petrol,Individual,Manual,First Owner,23,796,47,69,3500,5,India
Hyundai,i20,2012,275000,93000,Petrol,Individual,Manual,Second Owner,17,1197,80,11,4000,5,South Korea
Tata,Zest,2018,520000,60000,Petrol,Individual,Manual,First Owner,18,1193,89,140,4000,5,India
Maruti,Swift,2008,130000,120000,Petrol,Individual,Manual,Second Owner,19,1459,92,0,3011,5,India
Nissan,Sunny,2014,550000,37000,Petrol,Individual,Manual,First Owner,17,1498,98,134,4000,5,Japan
Ford,EcoSport,2018,910000,15000,Petrol,Individual,Manual,First Owner,17,1497,121,150,4500,5,United States
Nissan,Micra,2015,300000,80000,Petrol,Individual,Manual,First Owner,19,1198,67,104,4000,5,Japan
Maruti,Wagon,2016,350000,140000,Petrol,Individual,Manual,First Owner,21,998,67,90,3500,5,India
Maruti,Ritz,2010,250000,110000,Diesel,Individual,Manual,Second Owner,21,1248,74,190,2000,5,India
Hyundai,Creta,2017,1100000,37000,Diesel,Individual,Manual,First Owner,20,1582,126,260,2325,5,South Korea
Renault,KWID,2016,270000,44000,Petrol,Individual,Manual,First Owner,25,799,53,72,4386,5,France
Maruti,Ertiga,2015,640000,80000,Diesel,Individual,Manual,First Owner,21,1248,89,200,1750,7,India
Mahindra,XUV500,2015,650000,125000,Diesel,Individual,Manual,First Owner,15,2179,140,330,2800,7,India
Maruti,Eeco,2017,409999,13500,Petrol,Individual,Manual,First Owner,15,1196,73,101,3000,5,India
Hyundai,Santro,2011,165000,75000,Petrol,Individual,Manual,First Owner,18,1086,62,96,3000,5,South Korea
Hyundai,Accent,2007,80000,120000,Petrol,Individual,Manual,Second Owner,13,1495,94,12,3500,5,South Korea
Mahindra,XUV500,2012,535000,120000,Diesel,Individual,Manual,First Owner,15,2179,140,330,2800,7,India
Toyota,Innova,2013,700000,70000,Diesel,Individual,Manual,First Owner,13,2494,101,200,3400,7,Japan
Maruti,Swift,2013,550000,70000,Diesel,Individual,Manual,First Owner,23,1248,74,190,2000,5,India
Honda,Amaze,2019,680000,15000,Petrol,Individual,Automatic,First Owner,19,1199,89,110,4800,5,Japan
Hyundai,i10,2009,200000,53000,Petrol,Individual,Manual,Second Owner,20,1197,79,112,4000,5,South Korea
Maruti,Swift,2014,500000,120000,Diesel,Individual,Manual,Second Owner,23,1248,74,190,2000,5,India
Maruti,Ertiga,2016,1000000,70000,Diesel,Individual,Manual,First Owner,25,1248,88,200,1750,7,India
Hyundai,Getz,2008,110000,120000,Petrol,Individual,Manual,Second Owner,14,1341,83,12,3200,5,South Korea
Hyundai,i20,2012,320000,100000,Petrol,Individual,Manual,Second Owner,18,1197,80,11,4000,5,South Korea
Tata,Indica,2005,75000,110000,Diesel,Individual,Manual,Second Owner,19,1459,92,0,3011,5,India
Maruti,Swift,2015,350000,100000,Petrol,Individual,Manual,First Owner,20,1197,83,113,4200,5,India
Tata,Indica,2013,170000,162500,Diesel,Individual,Manual,First Owner,19,1405,70,135,2500,5,India
Hyundai,i20,2017,800000,39000,Diesel,Individual,Manual,First Owner,23,1396,89,220,2125,5,South Korea
Maruti,Ignis,2017,500000,75000,Diesel,Individual,Manual,First Owner,27,1248,74,190,2000,5,India
Hyundai,Verna,2013,530000,92500,Diesel,Individual,Manual,First Owner,22,1582,126,260,2325,5,South Korea
Maruti,Swift,2012,360000,158000,Diesel,Individual,Manual,First Owner,23,1248,74,190,2000,5,India
Maruti,Swift,2012,310000,120000,Diesel,Individual,Manual,First Owner,19,1248,74,190,2000,5,India
Honda,City,2015,725000,50000,Diesel,Individual,Manual,Second Owner,26,1498,99,200,1750,5,Japan
Maruti,Swift,2012,340000,110000,Diesel,Individual,Manual,First Owner,19,1248,74,190,2000,5,India
Hyundai,Xcent,2017,550000,2000,Diesel,Individual,Manual,Second Owner,25,1186,74,190,2000,5,South Korea
Tata,Tiago,2016,380000,70000,Diesel,Individual,Manual,First Owner,27,1047,69,140,3000,5,India
Nissan,Sunny,2013,350000,90000,Petrol,Individual,Automatic,Second Owner,18,1498,100,134,4000,5,Japan
Hyundai,Elite,2019,610000,2000,Petrol,Individual,Manual,First Owner,19,1197,82,117,4000,5,South Korea
Maruti,Swift,2015,525000,20000,Petrol,Individual,Manual,First Owner,21,1197,83,115,4000,5,India
Toyota,Innova,2011,480000,120000,Diesel,Individual,Manual,First Owner,13,2494,102,20,2400,7,Japan
Mahindra,Thar,2017,780000,35000,Diesel,Individual,Manual,First Owner,17,2498,105,247,2000,6,India
Maruti,Swift,2014,375000,80000,Petrol,Individual,Manual,First Owner,20,1197,82,113,4200,5,India
Datsun,GO,2019,300000,40000,Petrol,Individual,Manual,First Owner,19,1198,67,104,4000,5,Japan
Hyundai,i20,2015,500000,70000,Diesel,Individual,Manual,Fourth & Above Owner,23,1396,89,220,2125,5,South Korea
Mahindra,Scorpio,2011,404000,122358,Diesel,Individual,Manual,First Owner,12,2179,120,290,2800,9,India
Tata,Sumo,2015,500000,75000,Diesel,Individual,Manual,First Owner,14,2956,69,223,2200,7,India
Tata,Tiago,2017,350000,120000,Diesel,Individual,Manual,First Owner,27,1047,69,140,3000,5,India
Tata,Zest,2015,380000,40000,Petrol,Individual,Manual,First Owner,18,1193,89,140,4000,5,India
Hyundai,Accent,2008,114999,95200,Petrol,Individual,Manual,Third Owner,13,1495,94,12,3500,5,South Korea
Honda,Brio,2014,335000,33033,Petrol,Dealer,Manual,First Owner,19,1198,87,109,4500,5,Japan
Hyundai,Grand,2015,465000,63063,Petrol,Dealer,Automatic,First Owner,19,1197,82,114,4000,5,South Korea
Tata,Manza,2012,290000,60000,Diesel,Individual,Manual,First Owner,21,1248,89,200,3000,5,India
Maruti,Alto,2005,110000,45000,Petrol,Individual,Manual,Second Owner,20,796,46,62,3000,5,India
Tata,New,2011,450000,80000,Diesel,Individual,Manual,Third Owner,12,2179,138,320,2700,7,India
Mahindra,Bolero,2009,400000,170000,Diesel,Individual,Manual,Second Owner,14,2523,63,180,1500,7,India
Maruti,Omni,2016,220000,35000,Petrol,Individual,Manual,First Owner,17,796,34,59,2500,8,India
Hyundai,Grand,2017,450000,35000,Petrol,Individual,Manual,First Owner,19,1197,82,114,4000,5,South Korea
Hyundai,i10,2013,290000,50000,Petrol,Individual,Automatic,First Owner,17,1197,79,112,4000,5,South Korea
Maruti,Swift,2016,520000,20000,Petrol,Individual,Manual,First Owner,20,1197,82,113,4200,5,India
Hyundai,i10,2011,265000,20000,Petrol,Individual,Automatic,First Owner,17,1197,79,112,4000,5,South Korea
Maruti,Swift,2012,330000,50000,Petrol,Individual,Manual,Second Owner,19,1197,86,114,4000,5,India
Mahindra,Bolero,2014,509999,120000,Diesel,Individual,Manual,First Owner,16,2523,62,195,2200,7,India
Hyundai,Verna,2014,500000,70000,Petrol,Individual,Manual,First Owner,17,1591,121,155,4200,5,South Korea
Hyundai,i20,2015,525000,50000,Petrol,Individual,Manual,First Owner,17,1197,82,115,4000,5,South Korea
Maruti,Baleno,2019,675000,16500,Petrol,Individual,Manual,First Owner,21,1197,82,113,4200,5,India
Hyundai,i20,2010,300000,70000,Petrol,Individual,Manual,First Owner,17,1197,80,11,4000,5,South Korea
Maruti,Alto,2005,90000,99361,Petrol,Individual,Manual,Second Owner,20,796,46,62,3000,5,India
Maruti,Swift,2017,650000,25000,Diesel,Individual,Manual,First Owner,27,1248,74,190,2000,5,India
Maruti,Swift,2014,409000,70000,Petrol,Individual,Manual,Second Owner,19,1197,86,114,4000,5,India
Hyundai,Grand,2015,395000,80000,Diesel,Individual,Manual,Second Owner,24,1120,70,160,2750,5,South Korea
Maruti,Swift,2010,215000,70000,Petrol,Individual,Manual,Second Owner,19,1459,92,0,3011,5,India
Maruti,Swift,2014,400000,70000,Petrol,Individual,Manual,Second Owner,19,1197,86,114,4000,5,India
Chevrolet,Beat,2012,120000,60000,Petrol,Individual,Manual,Third Owner,19,1199,79,108,4400,5,United States
Tata,Tigor,2018,645000,10000,Petrol,Individual,Automatic,First Owner,20,1199,84,114,3500,5,India
Maruti,800,2006,81000,80000,Petrol,Individual,Manual,First Owner,16,796,37,59,2500,4,India
